Date,Winning Numbers
8/2/2024,32  10
8/2/2024,29  9
8/2/2024,20  15
8/1/2024,32  26
8/1/2024,31  18
8/1/2024,33  27
8/1/2024,10  17
8/1/2024,32  29
7/31/2024,24  24
7/31/2024,26  35
7/31/2024,17  13
7/31/2024,13  12
7/31/2024,10  16
7/30/2024,32  36
7/30/2024,22  26
7/30/2024,20  10
7/30/2024,36  20
7/30/2024,29  24
7/29/2024,1  13
7/29/2024,30  22
7/29/2024,33  34
7/29/2024,26  20
7/29/2024,32  36
7/28/2024,1  14
7/28/2024,27  17
7/28/2024,24  13
7/28/2024,12  20
7/28/2024,31  12
7/27/2024,4  30
7/27/2024,28  32
7/27/2024,10  31
7/27/2024,22  13
7/27/2024,3  4
7/26/2024,21  20
7/26/2024,18  1
7/26/2024,3  28
7/26/2024,22  30
7/26/2024,33  36
7/25/2024,16  9
7/25/2024,11  12
7/25/2024,21  3
7/25/2024,34  18
7/25/2024,16  20
7/24/2024,36  36
7/24/2024,20  34
7/24/2024,30  27
7/24/2024,23  6
7/24/2024,19  20
7/23/2024,10  3
7/23/2024,25  36
7/23/2024,29  33
7/23/2024,14  22
7/23/2024,36  29
7/22/2024,24  24
7/22/2024,9  21
7/22/2024,36  6
7/22/2024,27  13
7/22/2024,26  10
7/21/2024,8  35
7/21/2024,18  33
7/21/2024,23  5
7/21/2024,10  29
7/21/2024,31  18
7/20/2024,19  5
7/20/2024,34  23
7/20/2024,12  16
7/20/2024,19  14
7/20/2024,26  36
7/19/2024,19  10
7/19/2024,4  31
7/19/2024,18  2
7/19/2024,17  18
7/19/2024,12  14
7/18/2024,28  30
7/18/2024,35  21
7/18/2024,1  5
7/18/2024,36  23
7/18/2024,20  8
7/17/2024,35  18
7/17/2024,21  19
7/17/2024,3  6
7/17/2024,30  6
7/17/2024,20  35
7/16/2024,17  4
7/16/2024,16  32
7/16/2024,5  27
7/16/2024,17  11
7/16/2024,26  3
7/15/2024,32  14
7/15/2024,16  20
7/15/2024,5  34
7/15/2024,20  5
7/15/2024,17  7
7/14/2024,27  36
7/14/2024,18  35
7/14/2024,24  9
7/14/2024,25  11
7/14/2024,35  29
7/13/2024,14  26
7/13/2024,22  8
7/13/2024,10  30
7/13/2024,34  13
7/13/2024,16  24
7/12/2024,31  24
7/12/2024,22  21
7/12/2024,24  18
7/12/2024,36  3
7/12/2024,4  26
7/11/2024,17  9
7/11/2024,18  23
7/11/2024,8  6
7/11/2024,22  10
7/11/2024,35  34
7/10/2024,21  34
7/10/2024,34  11
7/10/2024,17  13
7/10/2024,26  29
7/10/2024,18  12
7/9/2024,21  21
7/9/2024,36  23
7/9/2024,19  33
7/9/2024,27  13
7/9/2024,11  17
7/8/2024,19  16
7/8/2024,23  13
7/8/2024,19  12
7/8/2024,14  22
7/8/2024,1  16
7/7/2024,27  10
7/7/2024,10  13
7/7/2024,10  6
7/7/2024,18  21
7/7/2024,12  3
7/6/2024,35  27
7/6/2024,28  16
7/6/2024,7  27
7/6/2024,4  22
7/6/2024,17  11
7/5/2024,5  28
7/5/2024,30  17
7/5/2024,14  17
7/5/2024,19  31
7/5/2024,30  6
7/4/2024,9  32
7/4/2024,3  10
7/4/2024,12  4
7/4/2024,6  23
7/4/2024,14  28
7/3/2024,34  26
7/3/2024,15  14
7/3/2024,10  31
7/3/2024,33  30
7/3/2024,8  28
7/2/2024,16  6
7/2/2024,15  34
7/2/2024,35  29
7/2/2024,21  18
7/2/2024,18  12
7/1/2024,5  31
7/1/2024,1  20
7/1/2024,27  36
7/1/2024,13  11
7/1/2024,6  33
6/30/2024,31  27
6/30/2024,36  16
